target,feat1,feat3
0.83198,8.625,0.0013526
0.83522,8.6667,0.0017228
0.8473,8.7083,0.0015565
0.84295,8.75,0.0014667
0.84507,8.7917,0.001784
0.85624,8.8333,0.0016125
0.85665,8.875,0.0014063
0.85665,8.9167,0.0017225
0.84884,8.9583,0.0014258
0.86306,9.0,0.0015878
0.86335,9.0417,0.0015366
0.86824,9.0833,0.0021615
0.86305,9.125,0.0018083
0.87533,9.1667,0.0016458
0.86338,9.2083,0.0015615
0.86668,9.25,0.0012919
0.88151,9.2917,0.0020217
0.88223,9.3333,0.0018488
0.87376,9.375,0.0017649
0.88626,9.4167,0.0016011
0.88955,9.4583,0.0015891
0.89305,9.5,0.0017107
0.88364,9.5417,0.0017423
0.88653,9.5833,0.0013542
0.88614,9.625,0.001504
0.88872,9.6667,0.0014611
0.90071,9.7083,0.0016244
0.89468,9.75,0.0017085
0.89632,9.7917,0.0014659
0.89649,9.8333,0.0015818
0.9091,9.875,0.0014548
0.90994,9.9167,0.00159
0.91111,9.9583,0.0015161
0.9098,10.0,0.0015062
0.91777,10.042,0.0015735
0.90744,10.083,0.0015721
0.91633,10.125,0.0016562
0.925,10.167,0.0018491
0.92928,10.208,0.0014657
0.93281,10.25,0.0014311
0.93421,10.292,0.0015651
0.92141,10.333,0.0017185
0.92555,10.375,0.0015011
0.93868,10.417,0.0016641
0.93774,10.458,0.001471
0.94006,10.5,0.0015309
0.94588,10.542,0.0017332
0.94694,10.583,0.0016469
0.94596,10.625,0.0015891
0.94901,10.667,0.0015124
0.94478,10.708,0.0013385
0.94592,10.75,0.0017104
0.95338,10.792,0.0016359
0.95439,10.833,0.0016836
0.96404,10.875,0.0016607
0.95674,10.917,0.0017657
0.95823,10.958,0.0019562
0.96247,11.0,0.0015733
0.97505,11.042,0.0017045
0.97551,11.083,0.0016023
0.96231,11.125,0.0015308
0.98043,11.167,0.0016202
0.98458,11.208,0.0016127
0.97281,11.25,0.0016204
0.98398,11.292,0.0015825
0.97336,11.333,0.0015545
0.97997,11.375,0.0016102
0.9851,11.417,0.0015625
0.98836,11.458,0.0017936
0.99584,11.5,0.0016885
0.99305,11.542,0.0017602
0.98656,11.583,0.0015882
0.99059,11.625,0.0017602
1.0034,11.667,0.0018053
1.0061,11.708,0.0017054
0.99186,11.75,0.0016908
1.0075,11.792,0.0014217
1.0021,11.833,0.0018067
1.0001,11.875,0.0016726
0.9973,11.917,0.0015666
1.0069,11.958,0.0015122
0.99492,12.0,0.0014397
1.0094,12.042,0.0016928
1.007,12.083,0.001632
0.99352,12.125,0.0015615
1.0002,12.167,0.0018003
0.99576,12.208,0.0015126
0.99246,12.25,0.0017411
1.0012,12.292,0.0018473
0.99277,12.333,0.0018543
0.99283,12.375,0.0016415
1.0055,12.417,0.0011689
0.99308,12.458,0.0016937
1.0049,12.5,0.0016179
1.0063,12.542,0.0014003
1.0098,12.583,0.0012192
1.0069,12.625,0.0018357
0.99115,12.667,0.0015459
0.99123,12.708,0.0017863
1.0001,12.75,0.0013058
1.0068,12.792,0.001553
1.0021,12.833,0.0015136
0.99373,12.875,0.0016976
1.0024,12.917,0.0017955
0.99667,12.958,0.00167
0.99431,13.0,0.0017267
1.0045,13.042,0.0015175
1.0027,13.083,0.0016681
1.0055,13.125,0.0021368
0.99836,13.167,0.001307
0.99826,13.208,0.0014839
0.99208,13.25,0.001871
1.0064,13.292,0.0011504
1.0018,13.333,0.0015115
0.99396,13.375,0.001506
1.003,13.417,0.0013966
0.99891,13.458,0.0014353
1.0085,13.5,0.0013648
1.0077,13.542,0.0012535
1.0044,13.583,0.0021766
1.0061,13.625,0.0017583
0.99125,13.667,0.0014664
1.0004,13.708,0.0015207
1.0016,13.75,0.0014407
0.99007,13.792,0.0017637
0.99461,13.833,0.0021248
1.0098,13.875,0.0016958
0.99648,13.917,0.0013416
0.99767,13.958,0.0015916
0.9949,14.0,0.0018001
0.99088,14.042,0.0015799
0.99582,14.083,0.0018275
0.99762,14.125,0.0014991
0.99039,14.167,0.0013349
